,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
112,CHEMBL134423,COc1cccc(-c2csc(CN3CCN(c4ccccc4OC)CC3)n2)c1.Cl.Cl.Cl.O,522.926,4.5902000000000065,0.0,6.0,6.0
113,CHEMBL611207,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3OC)CC1)CCC2,394.5590000000002,4.726100000000004,0.0,4.0,6.823908740944319
114,CHEMBL611207,COc1ccc2c(c1)CC(NC(=O)CCN1CCN(c3ccccc3OC)CC1)CC2.Cl.Cl,496.4790000000002,3.733200000000003,1.0,5.0,6.187086643357144
115,CHEMBL608530,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87100000000015,4.425600000000004,1.0,3.0,8.387216143280265
116,CHEMBL608530,COc1cccc(C(=O)NCCN2CCN(c3ccccc3OC)CC2)c1,369.4650000000001,2.2558,1.0,5.0,6.154901959985743
117,CHEMBL42,COc1cccc(C(=O)NCCCN2CCN(c3ccccc3OC)CC2)c1,383.4920000000001,2.645900000000001,1.0,5.0,6.0
118,CHEMBL1255588,COc1cccc(C(=O)CCCN2CCN(c3ccccc3OC)CC2)c1,368.4770000000001,3.488900000000002,0.0,5.0,7.886056647693163
119,CHEMBL277120,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1,373.884,2.9006000000000007,1.0,4.0,6.0
120,CHEMBL54786,COc1cccc(C(=O)NCCN2CCN(c3ccccn3)CC2)c1,340.427,1.6421999999999994,1.0,5.0,6.0
121,CHEMBL708,Fc1ccc([Si]2(c3ccc(F)cc3)CCC(N3CCN(c4ccccc4)CC3)C2)cc1,434.6060000000003,4.122300000000004,0.0,2.0,7.0
122,CHEMBL69584,Fc1ccc([Si]2(c3ccc(F)cc3)CCC(N3CCN(c4ccccc4)CC3)C2)cc1,434.6060000000003,4.122300000000004,0.0,2.0,6.853871964321762
123,CHEMBL107742,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,386.5860000000001,4.901100000000005,0.0,4.0,7.200659450546418
124,CHEMBL320597,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,386.5860000000001,4.901100000000005,0.0,4.0,7.113509274827518
125,CHEMBL34291,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,386.5860000000001,4.901100000000005,0.0,4.0,6.07727454200674
126,CHEMBL383577,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,386.5860000000001,4.901100000000005,0.0,4.0,5.930701987884471
127,CHEMBL201878,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,508.4490000000003,5.537000000000004,1.0,4.0,7.835647144215563
128,CHEMBL201946,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,462.4460000000002,5.540300000000004,1.0,4.0,7.023650020996727
129,CHEMBL201621,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,446.3780000000002,5.071800000000004,1.0,4.0,6.928117992693875
130,CHEMBL201019,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)cc1,532.2530000000002,4.930200000000005,1.0,3.0,7.2564902352715706
131,CHEMBL37333,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cnc2ccccc2n1,458.3930000000002,4.268800000000003,1.0,5.0,7.115204636051019
132,CHEMBL2448165,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,483.4430000000002,5.387600000000004,1.0,4.0,7.036212172654444
133,CHEMBL1729,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,404.3410000000002,4.101600000000003,1.0,3.0,7.79317412396815
134,CHEMBL202434,O=C(NC/C=C\CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,404.3410000000002,4.101600000000003,1.0,3.0,8.125518182300533
135,CHEMBL250689,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)cc1,530.2370000000002,4.706200000000004,1.0,3.0,6.790484985457369
136,CHEMBL249854,COc1ccc(C(=O)NC/C=C/CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,434.3670000000002,4.110200000000003,1.0,4.0,7.209011524911184
137,CHEMBL220808,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc([N+](=O)[O-])cc1,449.33800000000025,4.009800000000003,1.0,5.0,7.860120913598763
138,CHEMBL273041,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(O)cc1,420.3400000000002,3.8072000000000026,2.0,4.0,8.081445469449726
139,CHEMBL259415,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,444.36200000000025,4.847800000000004,1.0,4.0,6.954677021213342
140,CHEMBL261102,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,460.43000000000023,5.316300000000004,1.0,4.0,6.5951662833800615
141,CHEMBL261019,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,481.42700000000025,5.163600000000004,1.0,4.0,7.092051478387727
142,CHEMBL261434,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,494.4660000000003,5.896800000000005,1.0,3.0,5.892790030352131
143,CHEMBL259776,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,508.4490000000003,5.537000000000004,1.0,4.0,7.448550002027125
144,CHEMBL260907,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,8.045757490560675
