Name;RF;XGB;Mean;SD;CV
ZINC000003941496;6.570086837;6.040411;6.305248919;0.264837919;0.04200277
ZINC000004215736;6.318790038;5.7842317;6.051510869;0.267279169;0.044167345
ZINC000008101109;5.604214409;5.2562017;5.430208055;0.174006355;0.032044141
ZINC000012358719;5.845767153;5.5348406;5.690303877;0.155463277;0.027320734
ZINC000018516586;5.881482262;6.0441904;5.962836331;0.081354069;0.013643519
ZINC000003812862;6.575555162;6.175299;6.375427081;0.200128081;0.031390537
ZINC000000005152;5.923836449;5.5395365;5.731686475;0.192149975;0.03352416
ZINC000100037885;6.990236116;6.182943;6.586589558;0.403646558;0.06128309
ZINC000238809665;6.609096371;6.0008254;6.304960886;0.304135486;0.04823749
ZINC000000006300;5.514473933;5.4041796;5.459326767;0.055147166;0.010101459
ZINC000001485935;6.011862272;5.4994507;5.755656486;0.256205786;0.044513738
ZINC000000113428;6.595578793;6.4293933;6.512486047;0.083092746;0.01275899
ZINC000000119717;6.720950231;6.3843474;6.552648816;0.168301416;0.025684486
ZINC000000537822;7.947922845;7.9329596;7.940441223;0.007481622;0.000942217
ZINC000003798763;6.44654187;6.187622;6.317081935;0.129459935;0.020493629
ZINC000030726187;6.510936922;5.7663193;6.138628111;0.372308811;0.060650166
ZINC000001530611;6.298387845;6.2898903;6.294139073;0.004248773;0.000675036
ZINC000003882036;6.232462454;5.511671;5.872066727;0.360395727;0.061374597
ZINC000238809664;6.609096371;6.0008254;6.304960886;0.304135486;0.04823749
ZINC000000005423;6.47263798;5.476485;5.97456149;0.49807649;0.0833662
ZINC000066166864;6.535125799;6.005027;6.2700764;0.2650494;0.042272116
ZINC000000897408;6.46512423;6.167044;6.316084115;0.149040115;0.023596917
ZINC000000001792;5.973336148;5.6735425;5.823439324;0.149896824;0.025740257
ZINC000000000196;5.840103012;5.860579;5.850341006;0.010237994;0.001749982
ZINC000000000301;5.377813575;4.955923;5.166868288;0.210945288;0.040826527
ZINC000000004166;5.947234954;5.8569956;5.902115277;0.045119677;0.007644662
ZINC000000014257;5.967841267;5.628436;5.798138634;0.169702634;0.029268468
ZINC000000014864;6.048809308;5.483707;5.766258154;0.282551154;0.049000781
ZINC000000016154;6.061017807;5.6254535;5.843235654;0.217782154;0.037270815
ZINC000000089763;6.378722607;5.9320035;6.155363054;0.223359554;0.036286983
ZINC000001482094;6.211989957;5.9844766;6.098233279;0.113756679;0.018654039
ZINC000001482197;6.30507711;5.9656982;6.135387655;0.169689455;0.027657495
ZINC000001489478;6.330678839;5.8942246;6.11245172;0.21822712;0.03570206
ZINC000001530652;6.158665856;5.574369;5.866517428;0.292148428;0.049799294
ZINC000001530820;5.318200768;5.228717;5.273458884;0.044741884;0.008484352
ZINC000001530694;5.952593768;5.901898;5.927245884;0.025347884;0.004276503
ZINC000000006156;7.09805787;7.3473053;7.222681585;0.124623715;0.017254494
ZINC000000006310;6.116790455;5.926018;6.021404228;0.095386228;0.015841193
ZINC000000006481;5.890273818;5.1664577;5.528365759;0.361908059;0.065463841
